"question","type","choice1","c1","choice2","c2","choice3","c3","choice4","c4","choice5","c5","explanation"
"What are two responsibilities that you will have as a British citizen or permanent resident of the UK?","The UK values and principles","To look after the area in which you live and the environment","true","To look after yourself and your family","true","To stay in the UK forever","false","To promote work in your local community","false","","","If you wish to be a permanent resident or citizen of the UK, you should: look after yourself and your family, look after the area in which you live and the environment, respect and obey the law, respect the rights of others, including their right to their own opinions and treat others with fairness."
"Where is Big Ben located?","A long and illustrious history","Buckingham Palace","false","The Tower of London","false","Trafalgar Square","false","The Houses of the Parliament","true","","","Big Ben is the nickname for the great bell of the clock at the Houses of Parliament in London."
"When were men and women given the right to vote at the age of 21?","The UK values and principles","1918","false","1903","false","1928","true","1923","false","","","In 1928, women were given the right to vote at the age of 21, the same as men."
"Where is the UK geographically located?","The UK government and your role","South west of Europe","false","North east of Europe","false","North west of Europe","true","South east of Europe","false","","","The UK is located in the north west of Europe."
"Who is the patron Saint of Scotland?","A long and illustrious history","St David","false","St Patrick","false","St George","false","St Andrew","true","","","The patron Saint of Scotland is St Andrew."
"Which two houses fought in the Wars of the Roses?","A long and illustrious history","The House of Chester","false","The House of York","true","The House of Lancaster","true","The House of Newcastle","false","","","The Wars of the Roses were fought between the supporters of two families: the House of Lancaster and the House of York."
"The Bill of Rights of 1689 confirmed the right to vote for all adult men.","The UK values and principles","TRUE","false","FALSE","true","","","","","","","The Bill of Rights, 1689, confirmed the rights of Parliament and the limits of the king's power."
"What is the Cenotaph?","A long and illustrious history","A flower","false","A Christian church","false","A war memorial","true","A theatre","false","","","The Cenotaph is a war memorial and it is the site of the annual Remembrance Day service attended by the King, politicians and foreign ambassadors."
"Who was the first female Prime Minister of the UK?","Historical figures","Mary Stuart","false","Theresa May","false","Margaret Thatcher","true","Florence Nightingale","false","","","Margaret Thatcher was the first woman Prime Minister of the UK."
"Who chairs the debates at the House of Commons?","The UK government and your role","A bishop","false","The Prime Minister","false","The Speaker","true","The archbishop of Canterbury","false","","","Debates in the House of Commons are chaired by the Speaker."
"Who was the captain of the English football team that won the World Cup in 1966?","Historical figures","Sir Roger Bannister","false","Sir Jackie Stewart","false","Sir Ian Botham","false","Bobby Moore","true","","","Bobby Moore captained the English football team that won the World Cup in 1966."
"When did the English defeat the Spanish Armada?","A long and illustrious history","1466","false","1066","false","1254","false","1588","true","","","In 1588 the English defeated the Spanish Armada."
"Anyone can make a complaint about the police by writing to the Chief Constable of the police force involved.","The UK government and your role","TRUE","true","FALSE","false","","","","","","","This statement is true."
"What is the minimum age required to serve on a jury?","The UK government and your role","16","false","18","true","21","false","25","false","","","Anyone who is on the electoral register and is aged 18 to 70 can be asked to serve on a jury."
"How is a jury selected?","The UK government and your role","From the NHS registration system","false","Randomly from the electoral register","true","Alphabetically from the telephone directory","false","From a postcode selection","false","","","As well as getting the right to vote, people on the electoral register are randomly selected to serve on a jury. Anyone who is on the electoral register and is aged 18 to 70 can be asked to do this."
"What is a bank holiday?","A long and illustrious history","A public holiday when banks are open all day","false","A public holiday for people working in banks","false","An additional day off that every worker in the UK is entitled to","false","A public holiday when banks and many other businesses are closed for the day","true","","","There are public holidays each year called bank holidays, when banks and many other businesses are closed for the day."
"What will you be given to vote before a general election takes place?","The UK government and your role","A ballot slip","false","A poll card","true","A voting slip","false","A poll tax relief","false","","","Before the election you will be sent a poll card."
"Which of the following statements is correct?","The UK values and principles","Solicitors' charges are usually based on how much time they spend on a case","true","Solicitors' charges are usually based on the nature of a case and its importance","false","","","","","","","Solicitors' charges are usually based on how much time they spend on a case."
"By law, which TWO types of media have to give a balanced coverage of all political parties and equal time to rival viewpoints before an election?","The UK values and principles","Television","true","Internet","false","Newspapers","false","Radio","true","","","By law, radio and television coverage of the political parties must be balanced and so equal time has to be given to rival viewpoints."
"Which of the following territories is a Crown dependency but is NOT part of the UK?","The UK values and principles","Northern Ireland","false","Wales","false","The Channel Islands","true","Scotland","false","","","The Channel Islands is a British overseas territory linked to the UK, but it is not part of it."
"What did Sir Frank Whittle invent in the 1930s?","A long and illustrious history","Radar","false","Hovercraft","false","Jet engine","true","Ballpoint pen","false","","","The jet engine was developed in Britain in the 1930s by Sir Frank Whittle."
"Who wrote 'The Daffodils'?","A long and illustrious history","William Blake","false","Robert Browning","false","Lord Byron","false","William Wordsworth","true","","","The British poet William Wordsworth wrote 'The Daffodils'."
"Who was given the title of Lord Protector?","A long and illustrious history","Charles I","false","Charles II","false","Winston Churchill","false","Oliver Cromwell","true","","","Oliver Cromwell was given the title of Lord Protector and ruled until his death in 1658."
"What are the 40 days before Easter called?","Arts and culture","Diwali","false","Lent","true","Hannukah","false","Vaisakhi","false","","","The 40 days before Easter are known as Lent."
"What is the Home Secretary responsible for?","The UK government and your role","Health","false","Defence","false","Education","false","Policing","true","","","The Home Secretary is responsible for crime, policing, and immigration."
"St Helena is a British overseas territory and it is part of the United Kingdom.","The UK government and your role","TRUE","false","FALSE","true","","","","","","","British overseas territories, such as St Helena and the Falkland Islands, are linked to the UK but are not part of it."
"Several Church of England bishops sit in the House of Lords.","The UK government and your role","TRUE","true","FALSE","false","","","","","","","This statement is true."
"When walking your dog in a public place, you must ensure:","The UK values and principles","That your dog does not play with other dogs","false","That your dog wears a collar showing the name and address of the owner","true","That your dog wears a high visibility jacket","false","That your dog does not bark","false","","","All dogs in public places must wear a collar showing the name and address of the owner."
"Women over the age of 30 were given the right to vote as a result of their contribution towards the war effort. Which war was that?","A long and illustrious history","The Second World War","false","The Crimean War","false","The First World War","true","The Civil War","false","","","In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
"When did Ireland become a republic?","The UK values and principles","1925","false","1939","false","1949","true","1927","false","","","Ireland became a republic in 1949."
"Where did the first farmers come from?","A long and illustrious history","South-west Europe","false","South-east Europe","true","North-east America","false","North-west Asia","false","","","The first farmers arrived in Britain 6,000 years ago. The ancestors of these first farmers probably came from south-east Europe."
"Who was an important contributor to the 'pop art' movement of the 1960's?","Arts and culture","David Hockney","true","Lucian Freud","false","John Petts","false","Henry Moore","false","","","David Hockney was an important contributor to the 'pop art' movement of the 1960s and continues to be influential today."
"Who became Prime Minister and was an inspirational leader to the British people during WWII?","A long and illustrious history","Winston Churchill","true","Clement Attlee","false","Margaret Thatcher","false","Sir Robert Walpole","false","","","Winston Churchill."
"Who led the first invasion of Britain?","A long and illustrious history","Emperor Hadrian","false","Julius Caesar","true","Canute","false","William, the Duke of Normandy","false","","","Julius Caesar led a Roman invasion of Britain in 55 BC. This was unsuccessful and for nearly 100 years Britain remained separate from the Roman Empire. In AD 43 the Emperor Claudius led the Roman army in a new invasion. This time, there was resistance from some of the British tribes but the Romans were successful in occupying almost all of Britain."
"Under which king did the Anglo-Saxon kingdoms in England unite to defeat the Vikings?","A long and illustrious history","William of Orange","false","King Alfred the Great","true","Henry VIII","false","Robert the Bruce","false","","","The Anglo-Saxon kingdoms in England united under King Alfred the Great, who defeated the Vikings."
"When was the Magna Carta created?","A long and illustrious history","1514","false","1215","true","1415","false","1314","false","","","The Magna Carta was created in 1215."
"Northern Ireland has its own banknotes, which are valid everywhere in the UK.","The UK government and your role","TRUE","true","FALSE","false","","","","","","","This statement is true."
"Which of the following plays was written by William Shakespeare?","A long and illustrious history","Pride and Prejudice","false","A Midsummer Night's dream","true","Sense and Sensibility","false","Great Expectations","false","","","William Shakespeare's most famous plays include A Midsummer Night's dream."
"How many members does a jury have in England, Wales and Northern Ireland?","The UK government and your role","9","false","12","true","15","false","20","false","","","In England, Wales, and Northern Ireland a jury has 12 members."
"Which two of the following religious communities celebrate Diwali?","Arts and culture","Buddhists","false","Hindus","true","Jews","false","Sikhs","true","","","Diwali is celebrated by Hindus and Sikhs."
"What is Good Friday?","Arts and culture","The day when Jesus Christ rose from the dead","false","The day when Jesus Christ was born","false","The day when Jesus Christ died","true","The day when Jesus Christ became 30 years old","false","","","Good Friday marks the death of Jesus Christ during Easter."
"St Patrick's day is a public holiday in Northern Ireland.","Arts and culture","TRUE","true","FALSE","false","","","","","","","Only Scotland and Northern Ireland have their patron saint's day as an official holiday (although in Scotland not all businesses and offices will close)."
"Which was the last successful foreign invasion of England that took place in 1066?","A long and illustrious history","The Viking invasion","false","The Anglo-Saxon Conquest","false","The Roman invasion","false","The Norman Conquest","true","","","The Norman Conquest was the last successful foreign invasion of England in 1066."
"Which sport can be traced back to the 15th century in Scotland?","A long and illustrious history","Golf","true","Tennis","false","Football","false","Rugby","false","","","The modern game of golf can be traced back to 15th-century Scotland."
"Who was the first person in England to print books using a printing press?","A long and illustrious history","William Shakespeare","false","John Barbour","false","Geoffrey Chaucer","false","William Caxton","true","","","William Caxton was the first person in England to print books using a printing press."
"Which court deals with minor criminal cases in England, Wales and Northern Ireland?","The UK government and your role","High Court","false","Justice of the Peace Court","false","Magistrates' Court","true","Crown Court","false","","","In England, Wales, and Northern Ireland, most minor criminal cases are dealt with in a Magistrates' Court. In Scotland, minor criminal offences go to a Justice of the Peace Court."
"What did the Scottish John Logie Baird develop?","A long and illustrious history","Television","true","Radar","false","Personal computer","false","Radio","false","","","The television was developed by Scotsman John Logie Baird in the 1920s."
"Where are the Crown Jewels kept?","A long and illustrious history","At the House of Commons","false","At the Tower of London","true","At Buckingham Palace","false","At Windsor Castle","false","","","The Crown Jewels are kept at the Tower of London."
"Which of the following is a fundamental principle of British life?","The UK values and principles","Communism","false","Intolerance","false","Individual liberty","true","Inequity","false","","","Individual liberty is a fundamental principle of British life."
"Wales has its own established church.","The UK values and principles","TRUE","false","FALSE","true","","","","","","","There is no established Church in Wales or Northern Ireland."
"How is New Year's Eve called in Scotland?","The UK values and principles","Vaisakhi","false","Hannukah","false","Diwali","false","Hogmanay","true","","","In Scotland, the 31st of December (New Year's Eve) is called Hogmanay."
"Why did Henry VIII establish the church of England?","A long and illustrious history","Because the Pope didn't let him divorce his first wife, Catherine of Aragon","true","Because the Pope didn't let him marry Catherine Howard","false","Because the Pope wanted England to be a Catholic country","false","Because the Pope didn't let him divorce his wife, Anne of Cleves","false","","","To divorce his first wife, Henry needed the approval of the Pope. When the Pope refused, Henry established the church of England."
"What is the name of the long war that English kings fought with France in the middle ages?","A long and illustrious history","The Crimean War","false","The First World War","false","The Hundred Years War","true","The Boer War","false","","","English kings fought a long war with France, called the Hundred Years War (even though it actually lasted 116 years)."
"Who was supported by clansmen from the Scottish highlands and raised and army in 1745?","A long and illustrious history","Bonnie Prince Charlie","true","Robert Burns","false","Oliver Cromwell","false","Kenneth MacAlpin","false","","","In 1745 there was another attempt to put a Stuart king back on the throne in place of George I's son, George II. Charles Edward Stuart (Bonnie Prince Charlie), the grandson of James II, landed in Scotland. He was supported by clansmen from the Scottish highlands and raised an army."
"If you think someone is trying to persuade you to join an extremist or terrorist activity, who should you contact?","The UK government and your role","The Home Office","false","Your local police force","true","Your local MP","false","Your family","false","","","If you think someone is trying to persuade you to join an extremist or terrorist cause, you should notify your local police force."
"It is compulsory for 16 and 17-year-olds to join the National Citizen Service programme.","The UK government and your role","TRUE","false","FALSE","true","","","","","","","The National Citizen Service programme, which gives 16- and 17-year-olds the opportunity to enjoy outdoor activities, develop their skills and take part in a community project. Therefore, it is optional."
"What is the name of the tour guides that tell visitors stories about the Tower of London's history?","The UK government and your role","Knights","false","Chartists","false","Suffragettes","false","Beefeaters","true","","","Tours are given at the Tower of London by the Yeoman Warders, also known as Beefeaters, who tell visitors about the building's history."
"Which two countries developed the Concorde, the world's only supersonic commercial airliner?","A long and illustrious history","Italy","false","Britain","true","Germany","false","France","true","","","Britain and France developed the world's only supersonic commercial airliner, Concorde."
"Where is Snowdonia located?","A long and illustrious history","Scotland","false","Wales","true","England","false","Northern Ireland","false","","","Snowdonia is in Wales."
"Who wrote Sherlock Holmes?","A long and illustrious history","Evelyn Waugh","false","Sir Kingsley Amis","false","Graham Greene","false","Sir Arthur Conan Doyle","true","","","Sir Arthur Conan Doyle is the author of Sherlock Holmes."
"Which country was invaded by Germany in 1939?","A long and illustrious history","Austria","false","Italy","false","Russia","false","Poland","true","","","Germany invaded Poland in 1939."
"Who is the patron Saint of Wales?","The UK values and principles","St David","true","St George","false","St Patrick","false","St Andrew","false","","","The patron Saint of Wales is St David."
"Lake District is the largest national park of England.","A long and illustrious history","TRUE","true","FALSE","false","","","","","","","This statement is true."
"What is the name of the area in London where famous theatres are located?","A long and illustrious history","Soho","false","Theatreland","true","Westminster","false","Hyde Park","false","","","London's west end, also known as 'Theatreland', is particularly well known for its theatres."
"Which two of the following are key roles of school governors?","The UK government and your role","Monitoring student's behaviour","false","Monitoring and evaluating school performance","true","Setting the strategic direction of the school","true","Giving awards to the best students of the school","false","","","Governors and school boards have an important part to play in raising school standards. They have three key roles: setting the strategic direction of the school, ensuring accountability and monitoring and evaluating school performance."
"What led the American colonies to want their independence from Britain?","A long and illustrious history","The British government wanted to control their borders","false","They were running out of resources","false","The British government wanted to tax them","true","There were not enough jobs for the local people","false","","","The British government wanted to tax the colonies."
"Who was the leader of the suffragettes, the group that campaigned for women's rights to vote?","Historical figures","Queen Victoria","false","Oliver Cromwell","false","Florence Nightingale","false","Emmeline Pankhurst","true","","","Emmeline Pankhurst was the leader of the suffragettes."
"Cardiff is the capital city of which country?","The UK government and your role","Scotland","false","Northern Ireland","false","Ireland","false","Wales","true","","","The capital city of Wales is Cardiff."
"During the Great Depression in the 1930s which industry was badly affected?","A long and illustrious history","Housing construction","false","Shipbuilding","true","Automobile","false","Aviation","false","","","During the 'Great Depression' in the 1930s the traditional heavy industries such as shipbuilding were badly affected."
"Who was the first man in the world to run 1 mile in under 4 minutes?","A long and illustrious history","Sir Chris Hoy","false","Sir Roger Bannister","true","David Weir","false","Mo Farah","false","","","Sir Roger Bannister was the first man in the world to run a mile in under four minutes, in 1954."
"Which festival celebrates the end of Ramadan, when Muslims have fasted for a month?","Arts and culture","Hannukah","false","Vaisakhi","false","Eid ul Adha","false","Eid al-Fitr","true","","","Eid al-Fitr celebrates the end of Ramadan, when Muslims have fasted for a month."
"When did the 'Black Death' take place?","A long and illustrious history","The Golden Age","false","The Stone Age","false","The Middle Ages","true","The Iron Age","false","","","In 1348 (Middle Ages) the 'Black
"
"What was the last battle between Great Britain and France?","A long and illustrious history","The Battle of Trafalgar","false","The Battle of Waterloo","true","The Battle of Hastings","false","Battle of Agincourt","false","","","In 1815, the French Wars ended with the defeat of the Emperor Napoleon by the Duke of Wellington at the Battle of Waterloo."
"Which flower is associated with Wales?","The UK values and principles","Daffodil","true","Rose","false","Shamrock","false","Thistle","false","","","The flower associated with Wales is the daffodil."
"During the reign of Charles II parts of London were destroyed, what was the cause of this destruction?","A long and illustrious history","A war","false","A flood","false","A fire","true","An earthquake","false","","","During Charles II's reign, a great fire destroyed much of the city, including many churches and St Paul's Cathedral."
"How often are general elections held in the UK?","The UK government and your role","Every 3 years","false","Every 4 years","false","Every 5 years","true","Every 10 years","false","","","MPs are elected at a General Election, which is held at least every five years."
"Scotland has its own banknotes, which are valid everywhere in the UK.","The UK values and principles","TRUE","true","FALSE","false","","","","","","","This statement is true."
"What charity works to preserve important buildings, coastline and countryside in the UK?","The UK government and your role","Shelter","false","Age UK","false","Crisis","false","The National Trust","true","","","The National Trust is a charity that works to preserve important buildings, coastline and countryside in the UK."
"Great Britain refers only to England, Wales and Scotland.","The UK values and principles","TRUE","true","FALSE","false","","","","","","","This statement is true."
"Who was the tribal leader who fought against the Romans?","A long and illustrious history","Cleopatra","false","Claudia","false","Boudicca","true","St Augustine","false","","","One of the tribal leaders who fought against the Romans was Boudicca, the queen of the Iceni in what is now eastern England."
"Who was voted the greatest Briton of all time in 2002?","Historical figures","Isaac Newton","false","Winston Churchill","true","Alexander Fleming","false","Mo Farat","false","","","Winston Churchill remains a much-admired figure to this day, and in 2002 was voted the greatest Briton of all time by the public."
"Which two houses form the UK Parliament?","The UK government and your role","The House of Lords","true","House of Members","false","House of Commons","true","House of Fraser","false","","","The UK Parliament is formed of the House of Commons and the House of Lords."
"When did women get the right to vote at the same age as men?","The UK values and principles","1918","false","1928","true","1938","false","1948","false","","","In 1928, women were given the right to vote at the age of 21, the same as men."
"Who is the head of the Church of England?","The UK government and your role","The Prime Minister","false","The Archbishop of Canterbury","false","The Pope","false","The monarch","true","","","The monarch is the head of the Church of England."
"What sort of event is the Grand National?","A long and illustrious history","Rugby","false","Golf","false","Horse Racing","true","Tennis","false","","","The Grand National is a horse racing event."
