question,type,choice1,c1,choice2,c2,choice3,c3,choice4,c4,choice5,c5,explanation
What are two responsibilities that you will have as a British citizen or permanent resident of the UK?,The UK values and principles,To look after the area in which you live and the environment,TRUE,To look after yourself and your family,TRUE,To stay in the UK forever,FALSE,To promote work in your local community,FALSE,,,"If you wish to be a permanent resident or citizen of the UK, you should: look after yourself and your family, look after the area in which you live and the environment, respect and obey the law, respect the rights of others, including their right to their own opinions and treat others with fairness."
Where is Big Ben located?,A long and illustrious history,Buckingham Palace,FALSE,The Tower of London,FALSE,Trafalgar Square,FALSE,The Houses of the Parliament,TRUE,,,Big Ben is the nickname for the great bell of the clock at the Houses of Parliament in London.
When were men and women given the right to vote at the age of 21?,The UK values and principles,1918,FALSE,1903,FALSE,1928,TRUE,1923,FALSE,,,"In 1928, women were given the right to vote at the age of 21, the same as men."
Where is the UK geographically located?,The UK government and your role,South west of Europe,FALSE,North east of Europe,FALSE,North west of Europe,TRUE,South east of Europe,FALSE,,,The UK is located in the north west of Europe.
Who is the patron Saint of Scotland?,A long and illustrious history,St David,FALSE,St Patrick,FALSE,St George,FALSE,St Andrew,TRUE,,,The patron Saint of Scotland is St Andrew.
Which two houses fought in the Wars of the Roses?,A long and illustrious history,The House of Chester,FALSE,The House of York,TRUE,The House of Lancaster,TRUE,The House of Newcastle,FALSE,,,"The Wars of the Roses were fought between the supporters of two families, the House of Lancaster and the House of York,between 1455 and 1487."
The Bill of Rights of 1689 confirmed the right to vote for all adult men.,The UK values and principles,TRUE,FALSE,FALSE,TRUE,,,,,,,"The Bill of Rights, 1689, confirmed the rights of Parliament and the limits of the king's power."
What is the Cenotaph?,A long and illustrious history,A flower,FALSE,A Christian church,FALSE,A war memorial,TRUE,A theatre,FALSE,,,"The Cenotaph is a war memorial and it is the site of the annual Remembrance Day service attended by the King, politicians and foreign ambassadors."
Who was the first female Prime Minister of the UK?,Historical figures,Mary Stuart,FALSE,Theresa May,FALSE,Margaret Thatcher,TRUE,Florence Nightingale,FALSE,,,Margaret Thatcher was the first woman Prime Minister of the UK.
Who chairs the debates at the House of Commons?,The UK government and your role,A bishop,FALSE,The Prime Minister,FALSE,The Speaker,TRUE,The archbishop of Canterbury,FALSE,,,Debates in the House of Commons are chaired by the Speaker.
Who was the captain of the English football team that won the World Cup in 1966?,Historical figures,Sir Roger Bannister,FALSE,Sir Jackie Stewart,FALSE,Sir Ian Botham,FALSE,Bobby Moore,TRUE,,,Bobby Moore captained the English football team that won the World Cup in 1966.
When did the English defeat the Spanish Armada?,A long and illustrious history,1466,FALSE,1066,FALSE,1254,FALSE,1588,TRUE,,,In 1588 the English defeated the Spanish Armada.
Anyone can make a complaint about the police by writing to the Chief Constable of the police force involved.,The UK government and your role,TRUE,TRUE,FALSE,FALSE,,,,,,,This statement is true.
What is the minimum age required to serve on a jury?,The UK government and your role,16,FALSE,18,TRUE,21,FALSE,25,FALSE,,,Anyone who is on the electoral register and is aged 18 to 70 can be asked to serve on a jury.
How is a jury selected?,The UK government and your role,From the NHS registration system,FALSE,Randomly from the electoral register,TRUE,Alphabetically from the telephone directory,FALSE,From a postcode selection,FALSE,,,"As well as getting the right to vote, people on the electoral register are randomly selected to serve on a jury. Anyone who is on the electoral register and is aged 18 to 70 can be asked to do this."
What is a bank holiday?,A long and illustrious history,A public holiday when banks are open all day,FALSE,A public holiday for people working in banks,FALSE,An additional day off that every worker in the UK is entitled to,FALSE,A public holiday when banks and many other businesses are closed for the day,TRUE,,,"There are public holidays each year called bank holidays, when banks and many other businesses are closed for the day."
What will you be given to vote before a general election takes place?,The UK government and your role,A ballot slip,FALSE,A poll card,TRUE,A voting slip,FALSE,A poll tax relief,FALSE,,,Before the election you will be sent a poll card.
Which of the following statements is correct?,The UK values and principles,Solicitors' charges are usually based on how much time they spend on a case,TRUE,Solicitors' charges are usually based on the nature of a case and its importance,FALSE,,,,,,,Solicitors' charges are usually based on how much time they spend on a case.
"By law, which TWO types of media have to give a balanced coverage of all political parties and equal time to rival viewpoints before an election?",The UK values and principles,Television,TRUE,Internet,FALSE,Newspapers,FALSE,Radio,TRUE,,,"By law, radio and television coverage of the political parties must be balanced and so equal time has to be given to rival viewpoints."
Which of the following territories is a Crown dependency but is NOT part of the UK?,The UK values and principles,Northern Ireland,FALSE,Wales,FALSE,The Channel Islands,TRUE,Scotland,FALSE,,,"The Channel Islands is a British overseas territory linked to the UK, but it is not part of it."
What did Sir Frank Whittle invent in the 1930s?,A long and illustrious history,Radar,FALSE,Hovercraft,FALSE,Jet engine,TRUE,Ballpoint pen,FALSE,,,The jet engine was developed in Britain in the 1930s by Sir Frank Whittle.
Who wrote 'The Daffodils'?,A long and illustrious history,William Blake,FALSE,Robert Browning,FALSE,Lord Byron,FALSE,William Wordsworth,TRUE,,,The British poet William Wordsworth wrote 'The Daffodils'.
Who was given the title of Lord Protector?,A long and illustrious history,Charles I,FALSE,Charles II,FALSE,Winston Churchill,FALSE,Oliver Cromwell,TRUE,,,Oliver Cromwell was given the title of Lord Protector and ruled until his death in 1658.
What are the 40 days before Easter called?,Arts and culture,Diwali,FALSE,Lent,TRUE,Hannukah,FALSE,Vaisakhi,FALSE,,,The 40 days before Easter are known as Lent.
What is the Home Secretary responsible for?,The UK government and your role,Health,FALSE,Defence,FALSE,Education,FALSE,Policing,TRUE,,,"The Home Secretary is responsible for crime, policing, and immigration."
St Helena is a British overseas territory and it is part of the United Kingdom.,The UK government and your role,TRUE,FALSE,FALSE,TRUE,,,,,,,"British overseas territories, such as St Helena and the Falkland Islands, are linked to the UK but are not part of it."
Several Church of England bishops sit in the House of Lords.,The UK government and your role,TRUE,TRUE,FALSE,FALSE,,,,,,,This statement is true.
"When walking your dog in a public place, you must ensure:",The UK values and principles,That your dog does not play with other dogs,FALSE,That your dog wears a collar showing the name and address of the owner,TRUE,That your dog wears a high visibility jacket,FALSE,That your dog does not bark,FALSE,,,All dogs in public places must wear a collar showing the name and address of the owner.
Women over the age of 30 were given the right to vote as a result of their contribution towards the war effort. Which war was that?,A long and illustrious history,The Second World War,FALSE,The Crimean War,FALSE,The First World War,TRUE,The Civil War,FALSE,,,"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
When did Ireland become a republic?,The UK values and principles,1925,FALSE,1939,FALSE,1949,TRUE,1927,FALSE,,,Ireland became a republic in 1949.
Where did the first farmers come from?,A long and illustrious history,South-west Europe,FALSE,South-east Europe,TRUE,North-east America,FALSE,North-west Asia,FALSE,,,"The first farmers arrived in Britain 6,000 years ago. The ancestors of these first farmers probably came from south-east Europe."
Who was an important contributor to the 'pop art' movement of the 1960's?,Arts and culture,David Hockney,TRUE,Lucian Freud,FALSE,John Petts,FALSE,Henry Moore,FALSE,,,David Hockney was an important contributor to the 'pop art' movement of the 1960s and continues to be influential today.
Who became Prime Minister and was an inspirational leader to the British people during WWII?,A long and illustrious history,Winston Churchill,TRUE,Clement Attlee,FALSE,Margaret Thatcher,FALSE,Sir Robert Walpole,FALSE,,,Winston Churchill.
Who led the first invasion of Britain?,A long and illustrious history,Emperor Hadrian,FALSE,Julius Caesar,TRUE,Canute,FALSE,"William, the Duke of Normandy",FALSE,,,"Julius Caesar led a Roman invasion of Britain in 55 BC. This was unsuccessful and for nearly 100 years Britain remained separate from the Roman Empire. In AD 43 the Emperor Claudius led the Roman army in a new invasion. This time, there was resistance from some of the British tribes but the Romans were successful in occupying almost all of Britain."
Under which king did the Anglo-Saxon kingdoms in England unite to defeat the Vikings?,A long and illustrious history,William of Orange,FALSE,King Alfred the Great,TRUE,Henry VIII,FALSE,Robert the Bruce,FALSE,,,"The Anglo-Saxon kingdoms in England united under King Alfred the Great, who defeated the Vikings."
When was the Magna Carta created?,A long and illustrious history,1514,FALSE,1215,TRUE,1415,FALSE,1314,FALSE,,,The Magna Carta was created in 1215.
"Northern Ireland has its own banknotes, which are valid everywhere in the UK.",The UK government and your role,TRUE,TRUE,FALSE,FALSE,,,,,,,This statement is true.
Which of the following plays was written by William Shakespeare?,A long and illustrious history,Pride and Prejudice,FALSE,A Midsummer Night's dream,TRUE,Sense and Sensibility,FALSE,Great Expectations,FALSE,,,William Shakespeare's most famous plays include A Midsummer Night's dream.
"How many members does a jury have in England, Wales and Northern Ireland?",The UK government and your role,9,FALSE,12,TRUE,15,FALSE,20,FALSE,,,"In England, Wales, and Northern Ireland a jury has 12 members."
Which two of the following religious communities celebrate Diwali?,Arts and culture,Buddhists,FALSE,Hindus,TRUE,Jews,FALSE,Sikhs,TRUE,,,Diwali is celebrated by Hindus and Sikhs.
What is Good Friday?,Arts and culture,The day when Jesus Christ rose from the dead,FALSE,The day when Jesus Christ was born,FALSE,The day when Jesus Christ died,TRUE,The day when Jesus Christ became 30 years old,FALSE,,,Good Friday marks the death of Jesus Christ during Easter.
St Patrick's day is a public holiday in Northern Ireland.,Arts and culture,TRUE,TRUE,FALSE,FALSE,,,,,,,Only Scotland and Northern Ireland have their patron saint's day as an official holiday (although in Scotland not all businesses and offices will close).
Which was the last successful foreign invasion of England that took place in 1066?,A long and illustrious history,The Viking invasion,FALSE,The Anglo-Saxon Conquest,FALSE,The Roman invasion,FALSE,The Norman Conquest,TRUE,,,The Norman Conquest was the last successful foreign invasion of England in 1066.
Which sport can be traced back to the 15th century in Scotland?,A long and illustrious history,Golf,TRUE,Tennis,FALSE,Football,FALSE,Rugby,FALSE,,,The modern game of golf can be traced back to 15th-century Scotland.
Who was the first person in England to print books using a printing press?,A long and illustrious history,William Shakespeare,FALSE,John Barbour,FALSE,Geoffrey Chaucer,FALSE,William Caxton,TRUE,,,William Caxton was the first person in England to print books using a printing press.
"Which court deals with minor criminal cases in England, Wales and Northern Ireland?",The UK government and your role,High Court,FALSE,Justice of the Peace Court,FALSE,Magistrates' Court,TRUE,Crown Court,FALSE,,,"In England, Wales, and Northern Ireland, most minor criminal cases are dealt with in a Magistrates' Court. In Scotland, minor criminal offences go to a Justice of the Peace Court."
What did the Scottish John Logie Baird develop?,A long and illustrious history,Television,TRUE,Radar,FALSE,Personal computer,FALSE,Radio,FALSE,,,The television was developed by Scotsman John Logie Baird in the 1920s.
Where are the Crown Jewels kept?,A long and illustrious history,At the House of Commons,FALSE,At the Tower of London,TRUE,At Buckingham Palace,FALSE,At Windsor Castle,FALSE,,,The Crown Jewels are kept at the Tower of London.
Which of the following is a fundamental principle of British life?,The UK values and principles,Communism,FALSE,Intolerance,FALSE,Individual liberty,TRUE,Inequity,FALSE,,,Individual liberty is a fundamental principle of British life.
Wales has its own established church.,The UK values and principles,TRUE,FALSE,FALSE,TRUE,,,,,,,There is no established Church in Wales or Northern Ireland.
How is New Year's Eve called in Scotland?,The UK values and principles,Vaisakhi,FALSE,Hannukah,FALSE,Diwali,FALSE,Hogmanay,TRUE,,,"In Scotland, the 31st of December (New Year's Eve) is called Hogmanay."
Why did Henry VIII establish the church of England?,A long and illustrious history,"Because the Pope didn't let him divorce his first wife, Catherine of Aragon",TRUE,Because the Pope didn't let him marry Catherine Howard,FALSE,Because the Pope wanted England to be a Catholic country,FALSE,"Because the Pope didn't let him divorce his wife, Anne of Cleves",FALSE,,,"To divorce his first wife, Henry needed the approval of the Pope. When the Pope refused, Henry established the church of England."
What is the name of the long war that English kings fought with France in the middle ages?,A long and illustrious history,The Crimean War,FALSE,The First World War,FALSE,The Hundred Years War,TRUE,The Boer War,FALSE,,,"English kings fought a long war with France, called the Hundred Years War (even though it actually lasted 116 years)."
Who was supported by clansmen from the Scottish highlands and raised and army in 1745?,A long and illustrious history,Bonnie Prince Charlie,TRUE,Robert Burns,FALSE,Oliver Cromwell,FALSE,Kenneth MacAlpin,FALSE,,,"In 1745 there was another attempt to put a Stuart king back on the throne in place of George I's son, George II. Charles Edward Stuart (Bonnie Prince Charlie), the grandson of James II, landed in Scotland. He was supported by clansmen from the Scottish highlands and raised an army."
"If you think someone is trying to persuade you to join an extremist or terrorist activity, who should you contact?",The UK government and your role,The Home Office,FALSE,Your local police force,TRUE,Your local MP,FALSE,Your family,FALSE,,,"If you think someone is trying to persuade you to join an extremist or terrorist cause, you should notify your local police force."
It is compulsory for 16 and 17-year-olds to join the National Citizen Service programme.,The UK government and your role,TRUE,FALSE,FALSE,TRUE,,,,,,,"The National Citizen Service programme, which gives 16- and 17-year-olds the opportunity to enjoy outdoor activities, develop their skills and take part in a community project. Therefore, it is optional."
What is the name of the tour guides that tell visitors stories about the Tower of London's history?,The UK government and your role,Knights,FALSE,Chartists,FALSE,Suffragettes,FALSE,Beefeaters,TRUE,,,"Tours are given at the Tower of London by the Yeoman Warders, also known as Beefeaters, who tell visitors about the building's history."
"Which two countries developed the Concorde, the world's only supersonic commercial airliner?",A long and illustrious history,Italy,FALSE,Britain,TRUE,Germany,FALSE,France,TRUE,,,"Britain and France developed the world's only supersonic commercial airliner, Concorde."
Where is Snowdonia located?,A long and illustrious history,Scotland,FALSE,Wales,TRUE,England,FALSE,Northern Ireland,FALSE,,,Snowdonia is in Wales.
Who wrote Sherlock Holmes?,A long and illustrious history,Evelyn Waugh,FALSE,Sir Kingsley Amis,FALSE,Graham Greene,FALSE,Sir Arthur Conan Doyle,TRUE,,,Sir Arthur Conan Doyle is the author of Sherlock Holmes.
Which country was invaded by Germany in 1939?,A long and illustrious history,Austria,FALSE,Italy,FALSE,Russia,FALSE,Poland,TRUE,,,Germany invaded Poland in 1939.
Who is the patron Saint of Wales?,The UK values and principles,St David,TRUE,St George,FALSE,St Patrick,FALSE,St Andrew,FALSE,,,The patron Saint of Wales is St David.
Lake District is the largest national park of England.,A long and illustrious history,TRUE,TRUE,FALSE,FALSE,,,,,,,This statement is true.
What is the name of the area in London where famous theatres are located?,A long and illustrious history,Soho,FALSE,Theatreland,TRUE,Westminster,FALSE,Hyde Park,FALSE,,,"London's west end, also known as 'Theatreland', is particularly well known for its theatres."
Which two of the following are key roles of school governors?,The UK government and your role,Monitoring student's behaviour,FALSE,Monitoring and evaluating school performance,TRUE,Setting the strategic direction of the school,TRUE,Giving awards to the best students of the school,FALSE,,,"Governors and school boards have an important part to play in raising school standards. They have three key roles: setting the strategic direction of the school, ensuring accountability and monitoring and evaluating school performance."
What led the American colonies to want their independence from Britain?,A long and illustrious history,The British government wanted to control their borders,FALSE,They were running out of resources,FALSE,The British government wanted to tax them,TRUE,There were not enough jobs for the local people,FALSE,,,The British government wanted to tax the colonies.
"Who was the leader of the suffragettes, the group that campaigned for women's rights to vote?",Historical figures,Queen Victoria,FALSE,Oliver Cromwell,FALSE,Florence Nightingale,FALSE,Emmeline Pankhurst,TRUE,,,Emmeline Pankhurst was the leader of the suffragettes.
Cardiff is the capital city of which country?,The UK government and your role,Scotland,FALSE,Northern Ireland,FALSE,Ireland,FALSE,Wales,TRUE,,,The capital city of Wales is Cardiff.
During the Great Depression in the 1930s which industry was badly affected?,A long and illustrious history,Housing construction,FALSE,Shipbuilding,TRUE,Automobile,FALSE,Aviation,FALSE,,,During the 'Great Depression' in the 1930s the traditional heavy industries such as shipbuilding were badly affected.
Who was the first man in the world to run 1 mile in under 4 minutes?,A long and illustrious history,Sir Chris Hoy,FALSE,Sir Roger Bannister,TRUE,David Weir,FALSE,Mo Farah,FALSE,,,"Sir Roger Bannister was the first man in the world to run a mile in under four minutes, in 1954."
"Which festival celebrates the end of Ramadan, when Muslims have fasted for a month?",Arts and culture,Hannukah,FALSE,Vaisakhi,FALSE,Eid ul Adha,FALSE,Eid al-Fitr,TRUE,,,"Eid al-Fitr celebrates the end of Ramadan, when Muslims have fasted for a month."
When did the 'Black Death' take place?,A long and illustrious history,The Golden Age,FALSE,The Stone Age,FALSE,The Middle Ages,TRUE,The Iron Age,FALSE,,,"In 1348 (Middle Ages) the 'Black
"
What was the last battle between Great Britain and France?,A long and illustrious history,The Battle of Trafalgar,FALSE,The Battle of Waterloo,TRUE,The Battle of Hastings,FALSE,Battle of Agincourt,FALSE,,,"In 1815, the French Wars ended with the defeat of the Emperor Napoleon by the Duke of Wellington at the Battle of Waterloo."
Which flower is associated with Wales?,The UK values and principles,Daffodil,TRUE,Rose,FALSE,Shamrock,FALSE,Thistle,FALSE,,,The flower associated with Wales is the daffodil.
"During the reign of Charles II parts of London were destroyed, what was the cause of this destruction?",A long and illustrious history,A war,FALSE,A flood,FALSE,A fire,TRUE,An earthquake,FALSE,,,"During Charles II's reign, a great fire destroyed much of the city, including many churches and St Paul's Cathedral."
